commit	val_bpb	memory_gb	status	description
500114a	0.997900	44.0	keep	baseline
ae69007	0.000000	0.0	crash	baseline run failed: no NVIDIA GPU in environment
8ac046d	0.000000	0.0	crash	start experiment: missing tokenizer/data cache
3ee61c6	0.000000	0.0	crash	collatz-inspired run timed out on CPU during evaluation
